Timestamp,Current (A),CO Concentration (ppm),CO2 Concentration (ppm),Temperature (°C)
2025-01-01 00:00:00,86.11321103498847,53.66356022255258,568.0807983871374,24.229988545075663
2025-01-01 01:00:00,98.03240071613749,52.49108089901427,658.8673003955995,24.56301630100416
2025-01-01 02:00:00,111.62042429616122,52.18742596091294,677.1709872539611,34.61373016363434
2025-01-01 03:00:00,105.61569941220361,50.29352041044858,713.5849392254976,30.558518730923275
2025-01-01 04:00:00,124.20375167241228,53.23100092242761,816.6960614478754,33.26180625544488
2025-01-01 05:00:00,112.01033609551523,49.65491735752549,730.1956509805262,29.466590508959385
2025-01-01 06:00:00,124.21331425704703,53.447212596783274,743.0950888242737,40.002432208875504
2025-01-01 07:00:00,108.23160246859524,53.619674753841174,749.6539700768467,32.86048222529844
2025-01-01 08:00:00,112.19330540427822,55.0,886.6637176845362,34.8321987085668
2025-01-01 09:00:00,116.90653452872928,49.33554364508877,762.1731842443135,33.949636091874
2025-01-01 10:00:00,96.16334441474531,51.257354752863016,680.8253657186522,30.679714392095704
2025-01-01 11:00:00,103.14132028182107,54.079003718815834,635.3486814491636,31.38855731952591
2025-01-01 12:00:00,89.94904264732368,53.594745947471125,530.9532515855826,26.02453513829593
2025-01-01 13:00:00,75.60894254234935,49.742161567486,490.5280937442696,22.71614494487842
2025-01-01 14:00:00,32.672464987460096,53.83037208668718,518.9407159334478,15.04155162702132
2025-01-01 15:00:00,29.13192395930058,52.26398454166741,475.67987771798664,15.776064739327898
2025-01-01 16:00:00,35.66729055512343,50.94284098802049,349.8815501420276,13.726429527066731
2025-01-01 17:00:00,7.601739192704732,48.33413735422731,465.58423601024646,11.281298967516515
2025-01-01 18:00:00,30.551532852140845,52.995553163663985,412.9924157534688,13.276911922307487
2025-01-01 19:00:00,31.144909102930256,52.528046462221575,401.2362390965353,13.725674514324064
2025-01-01 20:00:00,21.835592107558366,55.0,446.9199182200956,15.14789919426515
2025-01-01 21:00:00,49.54818532915893,53.16304643831063,517.8812026379867,18.009247694638667
2025-01-01 22:00:00,41.840185304238545,49.67588854092298,528.1768866298481,17.941084402807668
2025-01-01 23:00:00,55.47384876044492,49.08169031950375,618.930697121265,20.21819954614274
2025-01-02 00:00:00,69.55038690348826,49.035491995723724,555.000922746462,23.706211384757314
2025-01-02 01:00:00,88.53345614812743,50.343601717529076,634.3660700375397,29.193542293544418
2025-01-02 02:00:00,94.22755695368687,48.126480865878506,703.8423364196699,28.889228748839656
2025-01-02 03:00:00,115.7138064050336,53.6104201542199,832.388236925553,33.59859501969077
2025-01-02 04:00:00,84.43209345501813,50.134265211705404,673.4331634988442,33.84986500639432
2025-01-02 05:00:00,120.64851866096993,51.739356810700116,732.6322847643856,31.095245990724543
2025-01-02 06:00:00,130.39175280554736,51.79358254624664,793.6946060588309,31.659606143534464
